Date Time,rolling_avg_avg_1_days,rolling_med_avg_1_days,rolling_avg_med_1_days,rolling_med_med_1_days,rolling_avg_avg_2_days,rolling_med_avg_2_days,rolling_avg_med_2_days,rolling_med_med_2_days,rolling_avg_avg_3_days,rolling_med_avg_3_days,rolling_avg_med_3_days,rolling_med_med_3_days,rolling_avg_avg_5_days,rolling_med_avg_5_days,rolling_avg_med_5_days,rolling_med_med_5_days,rolling_avg_avg_7_days,rolling_med_avg_7_days,rolling_avg_med_7_days,rolling_med_med_7_days,rolling_avg_avg_10_days,rolling_med_avg_10_days,rolling_avg_med_10_days,rolling_med_med_10_days,rolling_avg_avg_14_days,rolling_med_avg_14_days,rolling_avg_med_14_days,rolling_med_med_14_days,rolling_avg_avg_21_days,rolling_med_avg_21_days,rolling_avg_med_21_days,rolling_med_med_21_days,rolling_avg_avg_30_days,rolling_med_avg_30_days,rolling_avg_med_30_days,rolling_med_med_30_days
9/3/21,128.31988472622479,128.31988472622479,15.0,15.0,157.13291533608538,157.13291533608538,67.5,67.5,172.0912840208483,185.94594594594594,85.0,120.0,168.89967504986822,176.00589970501474,99.0,120.0,176.95549119154626,185.94594594594594,105.0,120.0,192.1430410817888,194.9740422409285,121.5,120.0,198.53651574167202,204.12901069518716,129.64285714285714,120.0,202.21659744781869,207.53287197231833,135.0,120.0,202.47639708497974,206.55241935483872,136.5,120.0
9/4/21,164.1880733944954,164.1880733944954,30.0,30.0,146.2539790603601,146.2539790603601,22.5,22.5,159.48463468888863,164.1880733944954,55.0,30.0,171.29356503241104,176.00589970501474,81.0,120.0,170.94664453361702,176.00589970501474,92.14285714285714,120.0,187.13588688277682,186.9430045187143,112.5,120.0,192.7912945615335,194.9740422409285,118.92857142857143,120.0,199.66585698144203,206.8548387096774,127.85714285714286,120.0,200.8606916758366,205.77241035856574,131.5,120.0
9/5/21,144.5429553264605,144.5429553264605,30.0,30.0,154.36551436047796,154.36551436047796,30.0,30.0,145.68363781572683,144.5429553264605,25.0,30.0,165.0009761567002,164.1880733944954,63.0,30.0,164.7470577100424,164.1880733944954,79.28571428571429,120.0,178.37864395388436,180.97592282548032,97.5,120.0,186.68234981212487,186.9430045187143,112.5,120.0,196.0404615687589,206.25,123.57142857142857,120.0,198.39563353183047,203.6514210537529,128.5,120.0
9/6/21,142.07476635514018,142.07476635514018,30.0,30.0,143.30886084080032,143.30886084080032,30.0,30.0,150.26859835869863,144.5429553264605,30.0,30.0,153.01432514965336,144.5429553264605,45.0,30.0,163.2979352633794,164.1880733944954,66.42857142857143,30.0,168.949423341692,170.09698654975506,82.5,120.0,184.26921984759306,186.9430045187143,106.07142857142857,120.0,194.3609653929793,206.25,119.28571428571429,120.0,196.87785082957916,203.6514210537529,125.5,120.0
9/7/21,120.43377483443709,120.43377483443709,30.0,30.0,131.25427059478864,131.25427059478864,30.0,30.0,135.68383217201253,142.07476635514018,30.0,30.0,139.91189092735158,142.07476635514018,27.0,30.0,155.3590602818683,144.5429553264605,53.57142857142857,30.0,160.3678008251357,158.2033484381384,73.5,75.0,178.0478557663158,180.97592282548032,95.35714285714286,120.0,190.2456766370155,202.00802139037432,115.0,120.0,194.04914930015602,201.91753270776576,122.5,120.0
9/8/21,117.60615384615384,117.60615384615384,15.0,15.0,119.01996434029547,119.01996434029547,22.5,22.5,126.70489834524365,120.43377483443709,25.0,30.0,137.7691447513374,142.07476635514018,27.0,30.0,143.30165063269393,142.07476635514018,38.57142857142857,30.0,153.33440990060282,148.38078940412095,63.0,30.0,171.1440370849971,170.09698654975506,87.85714285714286,120.0,185.79146041379605,187.94006309148264,107.14285714285714,120.0,191.5894381103695,201.91753270776576,119.0,120.0
9/9/21,80.19571045576407,80.19571045576407,15.0,15.0,98.90093215095897,98.90093215095897,15.0,15.0,106.07854637878495,117.60615384615384,20.0,15.0,120.97067216359112,120.43377483443709,24.0,30.0,128.19447413409654,128.31988472622479,23.571428571428573,30.0,146.13211859800109,143.30886084080032,52.5,30.0,160.2926317878814,158.2033484381384,76.07142857142857,75.0,179.6312884338849,185.94594594594594,102.14285714285714,120.0,188.44081637835808,201.91753270776576,115.5,120.0
9/10/21,297.0916905444126,297.0916905444126,360.0,360.0,188.64370050008833,188.64370050008833,187.5,187.5,164.9645182821101,117.60615384615384,130.0,15.0,151.48041920718157,120.43377483443709,90.0,30.0,152.30473210812335,142.07476635514018,72.85714285714286,30.0,158.24069768194084,143.30886084080032,76.5,30.0,164.63011164983482,158.2033484381384,88.92857142857143,75.0,183.12592119715583,185.94594594594594,110.71428571428571,120.0,190.33663588773325,201.91753270776576,121.5,120.0
9/11/21,436.6825396825397,436.6825396825397,360.0,360.0,366.88711511347617,366.88711511347617,360.0,360.0,271.32331356090543,297.0916905444126,245.0,360.0,210.40197387266147,120.43377483443709,156.0,30.0,191.23251300641542,142.07476635514018,120.0,30.0,181.7081495111574,143.30886084080032,100.5,30.0,181.08957877001623,158.2033484381384,106.07142857142857,75.0,192.2717007098275,185.94594594594594,119.28571428571429,120.0,198.37304182895846,204.12901069518716,129.5,120.0
9/12/21,5.5,5.5,5.0,5.0,221.09126984126985,221.09126984126985,182.5,182.5,246.42474340898403,297.0916905444126,241.66666666666666,360.0,187.41521890577405,117.60615384615384,151.0,15.0,171.3692336740639,120.43377483443709,116.42857142857143,30.0,163.66355491656282,135.19732554068247,89.0,30.0,168.05814569205316,148.38078940412095,97.85714285714286,30.0,181.57797776610454,176.00589970501474,113.80952380952381,120.0,191.8288070281199,204.12901069518716,123.66666666666667,120.0
9/13/21,73.72707423580786,73.72707423580786,30.0,30.0,39.61353711790393,39.61353711790393,17.5,17.5,171.9698713061158,73.72707423580786,131.66666666666666,30.0,178.63940298370485,80.19571045576407,154.0,30.0,161.60527765701642,117.60615384615384,116.42857142857143,30.0,158.20427386752112,131.25427059478864,90.5,30.0,162.4516064601979,143.30886084080032,91.42857142857143,30.0,176.71457245073418,176.00589970501474,109.52380952380952,120.0,187.0279220630333,194.9740422409285,118.66666666666667,120.0
9/14/21,121.57322175732217,121.57322175732217,30.0,30.0,97.65014799656501,97.65014799656501,30.0,30.0,66.93343199770995,73.72707423580786,21.666666666666668,30.0,186.91490524401647,121.57322175732217,157.0,30.0,161.76805578885714,117.60615384615384,116.42857142857143,30.0,153.94278870380379,121.00349829587964,90.5,30.0,158.56355803536275,135.19732554068247,85.0,30.0,172.6212557738296,164.1880733944954,102.38095238095238,120.0,183.72448748851718,186.9430045187143,115.66666666666667,120.0
