Date Time,1,5,15,30,60,120,180,360,720,1440,>1d
11/30/20,0,0,0,0,0,0,0,0,0,0,0
12/1/20,0,0,0,0,0,0,0,0,0,0,0
12/2/20,0,0,0,0,0,0,0,0,0,0,0
12/3/20,0,0,0,0,0,0,0,0,0,0,0
12/4/20,0,0,0,0,0,0,0,0,0,0,0
12/5/20,0,0,0,0,0,0,0,0,0,0,0
12/6/20,0,0,0,0,0,0,0,0,0,0,0
12/7/20,0,0,0,0,0,0,0,0,0,0,0
12/8/20,0,0,0,0,0,0,0,0,0,0,0
12/9/20,0,0,0,0,0,0,0,0,0,0,0
12/10/20,0,0,0,0,0,0,0,0,0,0,0
12/11/20,0,0,0,0,0,0,0,0,0,0,0
12/12/20,0,0,0,0,0,0,0,0,0,0,0
12/13/20,0,0,0,0,0,0,0,0,0,0,0
12/14/20,0,0,0,0,0,0,0,0,0,0,0
12/15/20,0,0,0,0,0,0,0,0,0,0,0
12/16/20,0,0,0,0,0,0,0,0,0,0,0
12/17/20,0,0,0,0,0,0,0,0,0,0,0
12/18/20,0,0,0,0,0,0,0,0,0,0,0
12/19/20,0,0,0,0,0,0,0,0,0,0,0
12/20/20,0,0,0,0,0,0,0,0,0,0,0
12/21/20,0,0,0,0,0,0,0,0,0,0,0
12/22/20,0,0,0,0,0,0,0,0,0,0,0
12/23/20,0,0,0,0,0,0,0,0,0,0,0
12/24/20,0,0,0,0,0,0,0,0,0,0,0
12/25/20,0,0,0,0,0,0,0,0,0,0,0
12/26/20,0,0,0,0,0,0,0,0,0,0,0
12/27/20,0,0,0,0,0,0,0,0,0,0,0
12/28/20,0,0,0,0,0,0,0,0,0,0,0
12/29/20,0,0,0,0,0,0,0,0,0,0,0
12/30/20,0,0,0,0,0,0,0,0,0,0,0
12/31/20,0,0,0,0,0,0,0,0,0,0,0
1/1/21,0,0,0,0,0,0,0,0,0,0,0
1/2/21,0,0,0,0,0,0,0,0,0,0,0
1/3/21,0,0,0,0,0,0,0,0,0,0,0
1/4/21,0,0,0,0,0,0,0,0,0,0,0
1/5/21,0,0,0,0,0,0,0,0,0,0,0
1/6/21,0,0,0,0,0,0,0,0,0,0,0
1/7/21,0,0,0,0,0,0,0,0,0,0,0
1/8/21,0,0,0,0,0,0,0,0,0,0,0
1/9/21,0,0,0,0,0,0,0,0,0,0,0
1/10/21,0,0,0,0,0,0,0,0,0,0,0
1/11/21,0,0,0,0,0,0,0,0,0,0,0
1/12/21,0,0,0,0,0,0,0,0,0,0,0
1/13/21,0,0,0,0,0,0,0,0,0,0,0
1/14/21,0,0,0,0,0,0,0,0,0,0,0
1/15/21,0,0,0,0,0,0,0,0,0,0,0
1/16/21,0,0,0,0,0,0,0,0,0,0,0
1/17/21,0,0,0,0,0,0,0,0,0,0,0
1/18/21,0,0,0,0,0,0,0,0,0,0,0
1/19/21,0,0,0,0,0,0,0,0,0,0,0
1/20/21,0,0,0,0,0,0,0,0,0,0,0
1/21/21,0,0,0,0,0,0,0,0,0,0,0
1/22/21,0,0,0,0,0,0,0,0,0,0,0
1/23/21,0,0,0,0,0,0,0,0,0,0,0
1/24/21,0,0,0,0,0,0,0,0,0,0,0
1/25/21,0,0,0,0,0,0,0,0,0,0,0
1/26/21,0,0,0,0,0,0,0,0,0,0,0
1/27/21,0,0,0,0,0,0,0,0,0,0,0
1/28/21,0,0,0,0,0,0,0,0,0,0,0
1/29/21,0,0,0,0,0,0,0,0,0,0,0
1/30/21,0,0,0,0,0,0,0,0,0,0,0
1/31/21,0,0,0,0,0,0,0,0,0,0,0
2/1/21,0,0,0,0,0,0,0,0,0,0,0
2/2/21,0,0,0,0,0,0,0,0,0,0,0
2/3/21,3,1,0,0,0,0,0,0,0,0,0
2/4/21,18,11,9,14,16,14,5,4,8,2,0
2/5/21,3,10,5,7,25,25,5,11,1,1,0
2/6/21,7,4,9,9,2,5,2,4,2,1,0
2/7/21,7,9,3,11,29,22,9,8,2,0,0
2/8/21,4,8,7,16,14,3,3,3,2,0,0
2/9/21,8,4,9,9,13,3,4,6,4,1,0
2/10/21,7,3,9,5,18,9,4,0,2,0,0
2/11/21,6,11,17,22,18,8,2,2,5,2,0
2/12/21,10,4,9,9,26,9,6,10,2,1,0
2/13/21,7,8,11,19,4,9,2,3,1,0,0
2/14/21,4,7,7,10,11,11,6,3,5,0,0
2/15/21,3,2,4,6,3,0,1,2,4,1,0
2/16/21,6,2,6,3,3,3,1,1,0,3,0
2/17/21,5,5,8,8,25,10,3,4,0,0,0
2/18/21,3,7,6,7,26,18,2,4,1,2,0
2/19/21,10,6,6,18,18,7,6,2,1,1,0
2/20/21,5,4,8,12,11,4,2,3,1,0,0
2/21/21,8,8,7,13,17,7,4,3,0,3,0
2/22/21,4,7,10,12,3,3,2,1,2,2,0
2/23/21,3,3,6,8,1,2,2,3,1,1,0
2/24/21,3,9,9,7,13,9,4,1,2,0,0
2/25/21,6,8,5,13,19,10,3,1,1,2,0
2/26/21,3,3,2,13,26,8,5,2,4,0,0
2/27/21,8,5,11,14,15,8,6,4,1,1,0
2/28/21,8,4,11,19,7,4,3,3,0,0,0
3/1/21,2,7,7,13,6,5,1,3,1,1,0
3/2/21,6,4,10,11,5,4,0,2,0,0,0
3/3/21,4,3,4,14,20,4,3,5,2,1,0
3/4/21,5,6,8,23,12,10,3,3,4,1,0
3/5/21,3,2,11,11,13,9,3,3,1,0,0
